domain,rho_means,rho_medians,rho_exp_d,rho_logit,CV_intra_pct,d,p_MW,n_input,n_structure
GDSC,1.8311585846242062,2.3201989000226013,1.6699666777207371,2.231596943912116,13.44100038426814,0.5128036727689543,0.0,117443,97674
GCBD,1.7946471773224428,5.5,1.4708851110426968,1.8025655121914879,62.65916893353391,0.3858643359468999,3.9222871983941365e-48,2949,3685
MDSINE2,1.6109272532174095,1.29572212438686,2.5401614626012767,199999999.00000003,173.20507446745245,0.932227646963347,0.0012258469288996192,10,30
